"Make","Model","Type","BaseMSRP","CityMPG","HwyMPG","Country","Seating","CurbWeight","Reliability","Satisfaction","OwnerCost5Years"
"Acura","MDX","SUV",42930,16,21,"Japan",7,4595,2,2,5
"Acura","RDX","SUV",32895,19,24,"Japan",5,4015,1,3,4
"Acura","RL","Sedan",47200,17,24,"Japan",5,4085,1,3,5
"Acura","TL","Sedan",35605,20,29,"Japan",5,3705,1,2,3
"Acura","TSX","Sedan",29610,22,31,"Japan",5,3440,3,2,2
"Acura","ZDX","SUV",46020,16,23,"Japan",5,4410,".",".",4
"Audi","A3","Diesel Wagon",30250,30,42,"Germany",5,3318,".",".","."
"Audi","A3","Wagon",27270,21,30,"Germany",5,3305,4,".",2
"Audi","A4","Sedan",32500,22,30,"Germany",5,3715,3,2,4
"Audi","A4","Wagon",36400,21,29,"Germany",5,3527,3,2,4
"Audi","A5","Convertible",42450,22,30,"Germany",4,4050,".",1,5
"Audi","A6","Sedan",41700,25,33,"Germany",5,4110,5,2,5
"Audi","A6","Wagon",53310,18,26,"Germany",5,4255,5,2,5
"Audi","A8","Sedan",78750,18,28,"Germany",5,4410,".",".",5
"Audi","Q5","SUV",35200,20,27,"Germany",5,4320,4,1,4
"Audi","Q7","SUV",46250,".",".","Germany",7,5260,4,".",5
"Audi","TT","Convertible",41300,23,31,"Germany",4,3219,4,".",4
"Audi","TT","Hatchback",38300,22,31,"Germany",4,2965,4,".",4
"BMW","1 Series","Convertible",36600,18,28,"Germany",4,3360,5,2,4
"BMW","3 Series","Convertible",46450,17,26,"Germany",5,3900,3,2,4
"BMW","3 Series","Sedan",34600,18,28,"Germany",5,3485,3,2,4
"BMW","3 Series","Wagon",37150,17,26,"Germany",5,3527,3,2,4
"BMW","5 Series","Sedan",45050,22,32,"Germany",5,4035,".",2,5
"BMW","7 Series","Sedan",71000,17,25,"Germany",5,4600,3,2,5
"BMW","X3","SUV",36750,19,25,"Germany",5,4220,".",3,4
"BMW","X5","SUV",47200,16,23,"Germany",7,5265,5,1,5
"BMW","X6","SUV",58900,16,23,"Germany",4,4895,".",".",5
"BMW","Z4","Convertible",47450,18,28,"Germany",2,3520,".",".",4
